YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2004,3,927,30.81667,-102.95,TEXAS,Normal,,,19.236929,16.63976,9.865274,37.609222,4.3573866,0.0,0.0,1009.9158,0.059588864,962.0
2004,5,1900,30.46667,-102.25,TEXAS,Normal,,,22.468132,23.679676,0.0,27.397636,3.4585655,0.0,0.0,1010.1734,0.14670661,892.0
2004,3,1705,30.58333,-103.88333,TEXAS,Normal,,,16.430489,15.386877,63.038994,56.40481,8.972749,0.0,0.0,1012.5596,0.16684468,1505.0
2004,3,1630,31.2,-103.48333,TEXAS,Normal,,,20.197348,12.619941,2.480276,23.000854,-2.3291442,0.0,0.0,1008.7536,0.022551786,829.0
2004,3,1500,29.46667,-98.1,TEXAS,Normal,,,22.575222,17.40276,22.803131,68.59055,17.891216,0.1873895,0.1873895,1016.86,0.23076022,176.0
2004,3,1630,30.28333,-97.75,TEXAS,Normal,,,21.682709,19.104492,17.594109,67.10689,16.579466,0.10310831,0.10310831,1016.7543,0.3347102,173.0
2004,3,1630,29.68333,-97.65,TEXAS,Normal,,,22.49538,17.922129,19.253529,67.474945,17.43243,0.10238167,0.10238167,1017.1919,0.26016742,123.0
2004,3,1243,29.28333,-102.95,TEXAS,Normal,,,22.045046,4.1674347,0.0,39.854652,7.7176204,0.0,0.0,1008.45654,0.020466927,838.0
2004,3,2235,31.11667,-103.58333,TEXAS,Normal,,,19.851778,12.831881,39.665245,49.657516,9.851287,0.0,0.0,1010.26105,0.033108883,857.0
2004,3,1245,29.2,-103.88333,TEXAS,Normal,,,23.62593,11.770559,3.4500313,14.723721,-5.138933,0.0,0.0,1009.08777,0.033326782,913.0
2004,3,1730,29.58333,-97.06667,TEXAS,Normal,,,22.127449,17.657713,19.136513,68.809814,17.046135,0.09918221,0.09918221,1017.66125,0.3760447,110.0
2004,3,1730,29.68333,-97.11667,TEXAS,Normal,,,21.866297,17.877687,18.651588,68.60304,16.747173,0.10135054,0.10135054,1017.70886,0.3757063,141.0
2004,3,200,32.71667,-102.9,TEXAS,Normal,,,18.21582,18.666428,0.0,30.778683,0.44795102,0.0,0.0,1008.88666,0.0896143,1053.0
2004,3,1600,29.98333,-99.75,TEXAS,Normal,,,21.001795,23.959654,27.492882,71.211105,17.502872,0.28983095,0.28983095,1015.68866,0.2811595,687.0
2004,3,1600,29.21667,-99.8,TEXAS,Normal,,,23.895536,18.949915,32.177586,67.386116,19.607712,0.7070218,0.7070218,1015.607,0.28819528,282.0
2004,2,1120,31.53333,-101.43333,TEXAS,Normal,,,10.230543,15.657833,31.802284,80.126396,7.9235706,2.5771594,2.5771594,1018.0323,0.20624277,808.0
2004,2,1140,32.26667,-101.83333,TEXAS,Normal,,,8.631221,13.800258,59.230846,81.89164,6.8770933,4.2915373,4.2915373,1018.82684,0.22908552,851.0
2004,4,915,30.1,-95.61667,TEXAS,Normal,,,25.464762,20.908718,80.07359,79.90053,23.050064,0.6743183,0.6743183,1006.37506,0.30354366,57.0
2004,4,835,30.06667,-95.55,TEXAS,Normal,,,25.542763,20.908718,80.07359,79.90053,23.125916,0.6743183,0.6743183,1006.37506,0.30354366,45.0
2004,6,2020,31.8,-98.95,TEXAS,Normal,,,30.980507,18.239536,15.197554,32.04381,12.265374,0.0,0.0,1009.2886,0.15851265,421.0
2004,6,2045,31.35,-100.63333,TEXAS,Normal,,,29.965986,21.245287,14.227148,32.09778,11.675935,0.0,0.0,1008.83453,0.25213468,614.0
